"Kategorie A";12;;;;;;;;;;;;
"pøíjmení";"jméno";"klub";"Trispol";"ArcelorMittal";"Krnov";"Hodinovka";"TdS";"VP";"Zlín";"Continental";"TdJ";"MRSAC";"MRSAC"
"Karmelita";"Tomáš";"LOKO Krnov";20;0;0;0;0;0;0;0;0;0;0
"Klášterka ";"Tomáš";"ACK Stará Ves n. Ondøejnicí";0;48;55;55;48;55;55;44;0;0;0
"Kokeš";"Pavel";"SK Valašského království";0;39;48;0;0;"DNF";0;0;0;0;0
"Koláèek";"Petr";"CK Feso Petøvald";0;37;38;27;0;0;0;0;42;0;0
"Kolesár";"Radek";"TJ Kolík Bohumín 1";0;0;0;0;0;36;0;0;0;0;0
"Kotas";"Wieslaw";"TJ T Tøinec";0;0;0;0;0;0;0;50;55;0;0
"Kotásek";"Robert";"Cube-Light Bike";0;0;0;0;0;0;0;0;0;0;0
"Kovaøík";"Roman";"TJ Kolík Bohumín 2";0;0;26;"DNF";0;0;0;0;0;0;0
"Král";"Martin";"YOGI Racing Ostrava 2";0;40;30;0;0;44;0;38;40;0;0
"Krhut";"Martin";"SK Bagbike";0;0;0;0;50;48;0;40;0;0;0
"Krchòák";"Boris";"Vendrynì";0;0;0;0;0;0;0;0;19;0;0
"Kroll";"Andrzej";"Skvelakola.cz";20;14;18;20;32;"DNF";0;0;24;0;0
"Kubala";"Janusz";"CykloservisMB-Airoo";0;0;0;50;0;46;0;42;46;0;0
"Kula";"Tomáš Pavel";"Rybnik";20;0;32;0;0;31;0;0;0;0;0
"Macczak";"Laszek";;20;23;21;22;0;0;0;0;0;0;0
"MACHAÈ";"Miroslav";"ACS Drak Vrbno";0;0;19;0;31;0;0;0;0;0;0
"Machotka";"Karel";"YOGI Racing Ostrava 1";0;55;31;25;46;"DNF";0;48;0;39;0
"Malátek";"Tomáš";"Novatop Lapierre";0;0;0;0;36;0;0;0;0;0;0
"Malík";"Roman";"Racing Olešná";0;27;0;0;0;0;0;0;0;0;0
"Marszalek";"Piotr";"Marklowice";0;0;0;0;0;0;0;0;36;0;0
"Martinák";"Tomáš";"SK Valašského království";0;34;0;26;0;0;0;0;0;0;0
"Míl";"Robert";"KPO";0;0;0;0;44;0;0;0;0;0;0
"MLYNÁØ";"Vlastimil";"ACS Drak Vrbno";0;0;46;0;0;0;0;0;0;0;0
"MOLITOR";"Tomáš";"Janovice";0;0;29;21;0;0;0;35;33;0;0
"Mrkva ";"Jakub";"Briko";0;0;0;32;0;37;0;0;0;0;0
"Najser";"Tomáš";"BIKEONE";20;0;0;0;0;0;0;0;0;0;0
"Novotnı ";"Jiøí";"Team Forman Cinelli";0;17;16;18;0;0;0;0;0;0;0
"Orálek ";"Dušan";"SCS MIRVA SVITAVY";0;0;0;0;0;42;0;0;0;0;0
"Pavlík";"Vít";"Galaxy Team Hranice";0;0;0;31;0;0;0;0;0;0;0
"Pecháèek ";"Adam";"Šumperk";0;0;0;28;0;"DNF";0;0;30;0;0
"PETØÍK";"Zdenìk";"HANNAH";0;0;36;0;0;0;0;0;0;0;0
"Pietrosz";"Tomáš";;0;19;0;0;0;0;0;0;0;0;0
"Pietrzyk";"Vratislav";"KaSK";0;36;0;0;0;0;0;39;44;0;0
"Plucnar";"Pavel";"TJ T Tøinec";0;16;0;0;0;0;0;0;0;0;0
"Podhornı";"Jarmil";"YOGI Racing Ostrava 1";0;30;24;0;0;0;0;28;26;0;0
"Povala";"Roman";"CK Continental Frenštát p. R. 1";0;42;0;33;0;"DNF";0;31;0;19;0
"PRUSEK";"Václav";"Lokomotiva Krnov";0;0;42;0;0;0;0;0;0;0;0
"Pytel";"Jaroslav";"SK Bagbike";0;0;0;0;"DNF";0;0;0;0;0;0
"Schnerch";"Martin";"Skvelakola.cz";20;0;25;34;34;32;48;32;29;0;0
"Sikora";"Tomáš";"ACK Stará Ves n. Ondøejnicí";0;0;"DNF";0;0;0;0;0;0;0;0
"Stanìk ";"Pavel";"Cyklosport Pøikryl Stará Ves n. O.";20;32;39;35;40;"DNF";50;33;35;0;0
"Stocker";"Richard";"Cube-Light Bike";0;0;0;0;0;0;0;0;0;0;0
"Styrnal";"Ivan";"Bystøice";0;0;0;0;0;0;0;0;23;0;0
"Styrnal";"Petr";"Bystøice";0;0;0;0;0;0;0;0;22;0;0
"Štec";"Josef";"Cyklokramo Suchdol n. O. 1";0;22;22;0;0;0;0;0;0;0;0
"Toman";"Petr";"Team Forman Cinelli";20;31;33;48;38;0;0;29;0;0;0
"Uvíra ";"Václav";"CK Orlík Orlová";0;46;40;38;0;39;0;36;38;0;0
"Vrábel";"David";"SK Valašského království";0;26;27;36;0;0;0;0;0;0;0
"Wajda ";"Viktor";;0;0;0;17;0;0;0;0;0;0;0
"Waloszek";"Vlastislav";"Chimpanzee Team";0;0;0;0;0;0;0;0;27;0;0
"WINKLER";"Jan";"Bikestyle.cz";0;0;37;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;
"Kategorie C";12;;;;;;;;;;;;
"pøíjmení";"jméno";"klub";"Trispol";"ArcelorMittal";"Krnov";"Hodinovka";"TdS";"VP";"Zlín";"Continental";"TdJ";"MRSAC";"MRSAC"
