Kategorie A;12;;;;;;;;;;;;;;;;;
pøíjmení;jméno;klub;Karlov;MJF;Slatina;KrnKrit;BohÈas;Krnov;VCFM;TdJ;MAD;GPF;Stonava;ML60;MJV;Petøvald;Kasárny;Paskov
Kategorie E;12;;;;;;;;;;;;;;;;;
pøíjmení;jméno;klub;Karlov;MJF;Slatina;KrnKrit;BohÈas;Krnov;VCFM;TdJ;MAD;GPF;Stonava;ML60;MJV;Petøvald;Kasárny;Paskov
Adamèík;Miroslav;Cyklokramo Suchdol nad Odrou ;0;50;60;55;60;48;55;48;48;48;0;58;0;0;48;0
Andrzejewski;Andrzej;CZERNICA MASTERS;55;0;0;0;36;36;37;0;39;36;49;0;44;0;0;0
Bárta;Miroslav;SK Bagbike ;0;33;50;0;48;40;48;55;50;50;58;65;48;60;55;55
Baa;Vladimír;Tufo team;0;38;48;0;0;0;0;0;60;0;0;0;0;0;0;0
Bluszcz;Stefan;Lowell Pro Šafrata Team Bohumín;0;0;0;0;33;30;0;36;0;33;44;39;0;0;0;0
Danìèek;Pavel;Cyklistika pro všechny Krnov;60;46;46;40;42;46;46;50;46;55;65;54;55;50;50;44
Dubnı;Pavel;Cyklokramo Suchdol nad Odrou;44;25;31;0;28;0;29;34;31;34;42;38;0;39;35;0
Ertel;Jiøí;YOGI Racing Ostrava 1;0;30;32;0;37;33;35;32;35;32;52;43;0;0;37;0
Glogar ;Jan;YOGI Racing Ostrava 2;0;0;0;0;26;0;25;0;0;0;0;0;0;0;0;0
Hlavatík;Ladislav;Racing Olešná ;0;26;35;0;46;31;44;0;0;0;56;0;0;0;0;0
Homola ;Petr;YOGI Racing Ostrava 1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jankowski;Alexander;ACK Stará Ves nad Ondøejnicí;50;36;36;44;34;37;34;37;38;40;0;46;40;42;38;39
Kubík;Josef;CK Kolík Hobby Bohumín C;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Leszczynski;Ksawery;CK Kolík Hobby Bohumín B;0;0;0;0;55;0;0;0;0;38;0;44;0;0;42;0
Masnı;Milan;Racing Olešná ;0;0;0;0;0;0;60;0;44;46;70;60;0;0;0;0
Misina;Andrzej;ACK Stará Ves nad Ondøejnicí;48;35;37;42;32;34;32;39;34;35;43;50;39;40;39;40
Mottl;Bohumír;CK Kolík Hobby Bohumín A;0;40;34;0;38;39;38;42;40;42;50;52;42;44;46;48
Mrakvia;Zdenìk;TJ T Tøinec ;0;21;33;0;27;25;27;0;27;26;0;0;0;0;0;0
