Kategorie A;13;;;;;;;;;;;;;;;;;;;;;;;
pøíjmení;jméno;klub;Trispol;Olšovec;MJF;Anna;BohÈas;Krnov;VC FM;Bahenec;C.C.;TdJ;MAD;StVes;SPAC;MRSAC;MRSAC;Stonava;GPF;MJV;ML60;Paskov;Petøvald;Ustron
Míèek;Roman;ACS DRAK VRBNO;24;35;0;0;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;35;38;0
Babán;Marcel;Cykloservis MB;0;0;30;0;34;0;50;0;0;0;0;0;0;0;0;42;0;0;0;0;0;0
Èervenı;Lukáš;Cykloservis MB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;35;0;40;34;0;0
Vodièka;Václav;CYCLING BRNO;0;0;0;0;50;0;0;0;0;0;0;0;0;47;38;0;0;0;0;0;0;0
Orzadala;Patrik;SKP Ostrava;32;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Harabiš;Radim;SK Valašského království;0;0;0;0;0;0;36;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0
Adámek;František;ACS DRAK VRBNO;23;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sucharda;Pavel;CYCLING BRNO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;0;0;0;0;0
Kolorz;Mariusz;"CK Kolík Hobby Bohumín ""A""";0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Wyszynski;Dariusz;DAR BUD TEAM;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Èermák;Jan;SK Bagbike Rubing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sieja;Jiøí;YOGI Racing Ostrava 2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;
Kategorie D;13;;;;;;;;;;;;;;;;;;;;;;;
pøíjmení;jméno;klub;Trispol;Olšovec;MJF;Anna;BohÈas;Krnov;VC FM;Bahenec;C.C.;TdJ;MAD;StVes;SPAC;MRSAC;MRSAC;Stonava;GPF;MJV;ML60;Paskov;Petøvald;Ustron
Pelc;Ladislav;FORCE KCK ZLÍN;55;60;60;46;50;0;65;40;46;39;65;42;70;56;26;50;55;46;46;55;60;0
