Kategorie A;13;;;;;;;;;;;;;
p¯ÌjmenÌ;jmÈno;klub;Trispol;Olöovec;MJF;UstroÚ;Boh»as;Krnov;Anna;ArcMit;VCL;Bahenec;C.C.;TdJ
CHALOUPKA;Petr;CykloRacing Olomouc;33;0;0;0;0;38;0;0;0;0;0;0
CHUD…J;Marek;CykloRacing Olomouc;37;0;0;0;0;0;0;0;0;0;0;0
Ch˝lek;Patrik;CK Continental Frenöt·t p.R.  2;0;0;0;0;0;0;0;0;0;0;0;0
Jakeö;Ji¯Ì;;0;0;0;0;0;0;0;21;0;0;0;0
Janczura;Piotr Henryk;;0;0;0;0;0;0;0;0;0;0;33;0
Jan˘;Martin;Siln˝ team UniËov;39;0;0;0;0;0;0;0;0;0;0;0
Jaroö;Martin;Racing Oleön· ÑBì;0;0;0;0;38;0;0;28;0;0;36;35
JÕLEK;Martin;Cyklo Pol·ch äumperk;29;0;0;0;0;0;0;0;0;0;0;0
Ju¯Ìk;Kamil;FITKO JESENÕK;0;0;0;0;0;30;0;0;0;0;0;0
Kaiser;ZdenÏk;A Bike Club Ostrava;0;34;0;0;28;0;6;22;33;34;0;34
Kantor;Tom·ö;TJ Té T¯inec;0;0;0;0;0;0;0;0;0;38;0;0
Kar·sek;Ji¯Ì;Racing Oleön· B;0;0;0;0;0;0;0;0;26;0;0;0
KAäPAR;Petr;CykloKoalice ZlatÈ Hory a PÌseËn·;20;0;0;0;0;0;0;0;0;0;0;0
Kl·öterka;Tom·ö;CK Continental Frenöt·t p.R.  1;60;60;0;50;42;60;0;50;60;60;60;0
KO»VARA;Ji¯Ì;SK AIB B¯idliËn·;25;0;0;0;0;0;0;0;0;0;0;0
Kokeö;Pavel;SK ValaöskÈho kr·lovstvÌ;0;46;0;0;50;55;0;55;0;0;0;0
Kol·Ëek;Petr;CK Feso Pet¯vald;0;0;0;0;0;0;0;0;36;0;0;0
Kolorz;Mariusz;"CK KolÌk Hobby BohumÌn ""A""";22;0;0;0;33;0;0;30;38;0;0;0
KOUÿIL;Martin;Fitko JesenÌk;38;0;0;0;0;0;0;0;0;0;0;0
Kova¯Ìk;Roman;"CK KolÌk Hobby BohumÌn ""B""";0;0;0;0;0;0;0;0;35;0;0;0
KrejËi¯Ìk;Petr;2K-BIKE CLUB Odry;0;0;0;0;0;0;0;0;0;0;0;0
Kubala;Janusz;Cykloservis MB;0;0;0;0;0;0;0;0;0;0;0;0
Lysek;VladimÌr;CK Continental Frenöt·t p.R.  2;0;0;0;0;39;0;0;36;0;0;0;0
Machotka;Karel;YOGI Racing Ostrava 1;42;0;0;0;60;0;0;48;44;46;0;0
MAJKUT;Petr;PM Bike éidlochovice;40;0;0;0;0;0;0;0;0;0;0;0
Majtner;Petr;"SkvÏl· kola-TJ Té T¯inec ""A""";0;0;0;0;34;0;0;34;0;0;0;0
MaliÚ·k;Tom·ö;;0;0;0;0;0;0;0;0;0;0;29;0
Matula;Krzysztof;Niezrzeszony;0;0;0;0;0;35;0;0;0;0;0;0
MI»UNEK;Jakub;Buldoci RapotÌn;19;0;0;0;0;0;0;0;0;0;0;0
Mrozek;Marian;TJ TZ TRINEC;0;0;0;0;0;0;0;0;0;0;0;50
Nov·k;Milan;XXX Bike Club;0;0;0;0;0;0;0;31;37;0;0;0
Odv·rka;Ivo;FORCE KCK CYKLOTEAM ZLÕN;48;38;0;60;48;46;39;60;55;55;55;60
ONDERKA;Milan;Yogi Racing Ostrava I.;21;0;0;0;0;0;0;35;0;0;0;38
Ostrovski;Darek;Alva 1- twomark;0;0;0;0;0;36;0;0;0;0;0;0
Pech·Ëek;Adam;ELEVEN MERCEDES-BENZ MITAS;0;0;0;0;0;0;0;0;30;0;0;0
PELCL;Petr;Buldoci RapotÌn;24;0;0;0;0;0;0;0;0;0;0;0
Piechaczek;Krzysztof;Lowell Pro äafrata Team BohumÌn;0;0;0;0;0;0;0;0;0;0;0;0
PODOLSKI;Krysztof;MTB TEAM RMF FM;36;0;0;40;0;37;0;0;0;0;0;0
PROKEä ;Stanislav;Prokeö Team;46;0;0;0;0;0;0;0;0;0;0;0
Pytel;JaromÌr;CYCLING BRNO BAGBIKE;0;55;0;0;40;48;50;42;50;0;0;46
RADA;Pavel;CK PEMAP;0;36;0;0;0;0;0;0;0;0;0;0
RADZKI;Tomasz;Dobre Sklepy Rowerove;32;0;0;28;0;32;0;0;0;0;0;0
ROTTER;Michal;SKP DUHA FORT Lanökroun;0;44;0;0;0;0;0;0;0;0;0;0
SEDL¡»EK;Daniel;In Life Cycling Team;30;0;0;0;0;0;0;0;0;0;0;0
Sedl·¯;Milan;FORCE KCK CYKLOTEAM ZLÕN;0;0;0;0;0;0;0;0;23;0;34;0
Schnerch;Martin;"SkvÏl· kola-TJ Té T¯inec ""A""";26;39;0;22;35;33;14;24;21;0;0;0
Sieja;Ji¯Ì;YOGI Racing Ostrava 2;0;0;0;0;0;0;0;0;0;0;0;0
Skovajsa;Michal;;0;0;0;0;0;0;0;0;0;0;30;0
SMRKTA;Ladislav;Siln˝ Team UniËov;0;42;0;0;0;0;0;0;0;0;0;0
