Kategorie A;13;;;;;;;;;;;;;;;;;;;;;;;;
p¯ÌjmenÌ;jmÈno;klub;Trispol;Olöovec;MJF;UstroÚ;Boh»as;Krnov;Anna;ArcMit;VCL;Bahenec;C.C.;TdJ;MAD;StVes;SPAC;MRSAC;MRSAC;GPF;Stonava;ML60;MJV;Paskov;BÏl·
p¯ÌjmenÌ;jmÈno;klub;Trispol;Olöovec;MJF;UstroÚ;Boh»as;Krnov;Anna;ArcMit;VCL;Bahenec;C.C.;TdJ;MAD;StVes;SPAC;MRSAC;MRSAC;GPF;Stonava;ML60;MJV;Paskov;BÏl·
GalatÌk;Roman;CK Continental Frenöt·t p.R.  1;38;37;0;0;55;60;0;55;60;48;50;48;60;0;63;58;40;47;65;42;60;55;50
Chamr·d;Ji¯Ì;;0;0;0;46;0;0;37;40;0;55;0;55;55;50;70;47;65;49;0;40;33;40;32
Javorek;Petr;www.masazprozeny.cz;46;48;0;38;0;50;33;0;36;0;46;44;48;55;51;0;0;52;0;48;46;60;0
SlavÌk;Ji¯Ì;FORCE KCK CYKLOTEAM ZLÕN;0;50;0;39;0;48;55;0;33;0;42;40;50;0;47;0;48;54;45;46;32;44;55
Kvapulinsk˝;Martin;A Bike Club Ostrava;27;39;0;29;44;36;25;46;0;46;55;50;34;0;55;46;0;44;54;44;42;0;0
Mitrenga;Petr;"SkvÏl· kola-TJ Té T¯inec ""A""";35;46;0;35;36;42;35;44;44;42;44;39;46;0;59;42;35;50;46;38;38;48;38
!!! SWACZYNA;Petr;CK Feso Pet¯vald;48;60;0;60;42;55;0;0;55;60;0;60;0;0;31;0;0;0;0;60;0;0;60
Hlawiczka;Martin;"SkvÏl· kola-TJ Té T¯inec ""A""";0;44;0;0;38;0;0;39;37;39;37;36;0;46;50;43;31;40;44;0;31;46;31
Folt˝n;Ji¯Ì;"CK KolÌk Hobby BohumÌn ""A""";32;40;0;25;46;34;14;38;38;38;30;31;0;44;43;37;0;0;49;29;24;0;0
Bollo;Roman;YOGI Racing Ostrava 2;24;35;0;0;32;33;0;0;0;44;40;0;0;0;57;41;0;45;47;33;0;38;29
Fryc;Bohdan;A Bike Club Ostrava;0;38;0;0;31;32;0;33;29;37;33;32;0;0;46;0;0;38;41;32;0;36;28
Heinrich;Luk·ö;BIKESTYLE.CZ;30;0;0;0;0;38;0;0;39;0;38;0;0;60;53;0;39;48;0;0;48;0;44
Motyka;Patrik;A Bike Club Ostrava;0;0;0;0;28;44;0;34;26;0;35;37;39;0;48;0;0;0;37;34;28;42;0
JureËka;Roman;CK Continental Frenöt·t p.R.  1;29;0;0;9;37;0;0;37;0;36;29;28;26;40;0;0;0;0;50;27;0;39;27
äenke¯Ìk;Jan;FORCE KCK CYKLOTEAM ZLÕN;0;0;0;42;0;0;0;0;42;50;0;46;22;48;0;0;70;37;0;39;0;0;0
»ER;Tom·ö;BikeStyle.cz;55;0;0;0;0;0;0;0;50;0;0;0;0;0;75;0;46;65;0;0;50;0;46
UCHYTIL;Martin;UherskÈ HradiötÏ;34;42;0;0;0;39;0;0;32;0;36;35;23;0;49;0;0;0;0;0;0;0;0
KoneËn˝;Luk·ö;CK Vlastibor KoneËn˝;0;0;0;0;0;0;0;0;0;40;0;0;0;0;54;0;52;0;52;50;39;0;0
Wrozyna;Rafal;Jafisport bike team;0;0;0;0;0;0;0;50;0;0;0;42;0;0;0;0;0;0;56;0;44;50;42
Holona;Martin;HPEL TEAM;0;0;0;0;40;0;0;36;0;0;0;0;0;0;44;48;0;0;42;0;30;0;33
HudeËek;Petr;Forman Cinnelli;0;0;0;0;0;0;0;0;0;0;60;0;0;0;65;0;0;70;0;55;0;0;0
Grigorescu;Lubor;Roûnov;0;0;0;0;0;40;0;0;0;0;34;33;0;0;52;0;37;46;0;0;0;0;0
Pietrzyk;Vratislav;"SkvÏl· kola-TJ Té T¯inec ""A""";0;0;0;0;50;0;0;48;0;0;0;34;0;0;0;52;0;0;58;0;0;0;0
Przieliorz;Pawel;"CK KolÌk Hobby BohumÌn ""A""";0;0;0;0;0;30;0;0;28;0;0;0;27;39;0;0;0;39;0;35;0;0;30
Pet¯Ìk;ZdenÏk;Cyklistika pro vöechny Krnov;39;0;0;0;0;0;0;0;0;0;39;0;44;0;61;0;0;0;0;0;0;0;37
äv·b;Miroslav;CYCLING BRNO BAGBIKE;0;0;0;0;60;0;0;60;0;0;0;0;0;0;0;0;0;0;70;0;0;0;0
PilËÌk;Adam;Novatop Lapierre;0;0;0;0;0;0;0;0;48;0;0;0;0;0;0;0;0;56;0;36;0;0;48
Gruchala;VojtÏch;TK Ostrava;0;0;0;0;0;0;0;32;0;35;32;0;0;0;41;0;0;0;38;0;0;0;0
Sekanina;Petr;LOKO KROV;0;0;0;0;0;46;0;0;0;0;0;0;40;0;0;0;0;43;0;0;40;0;0
