Kategorie A;13;;;;;;;;;;;;
pøíjmení;jméno;klub;Trispol;Olšovec;MJF;Ustroò;BohÈas;Krnov;Anna;ArcMit;VCL;Bahenec;C.C.
Šenkeøík;Jan;FORCE KCK CYKLOTEAM ZLÍN;0;0;0;42;0;0;0;0;42;50;0
Šimon;Vítìzslav;Loko Krnov;25;0;0;0;0;0;0;0;0;0;0
Šmíd;Robert;CYCLING BRNO BAGBIKE;0;0;0;0;0;0;0;0;0;0;0
Šváb;Miroslav;CYCLING BRNO BAGBIKE;0;0;0;0;60;0;0;60;0;0;0
ŠVEC;Ludìk;RD Rımaøov;21;0;0;0;0;0;0;0;0;0;0
Teslík;Petr;YOGI Racing Ostrava 1;0;0;0;0;0;0;0;0;0;0;0
Tkadlec;Josef;;0;0;0;0;0;0;0;0;30;0;0
Traciak;Arkadiusz;(POL) KS LUBOÑ SKOMIELNA BIA£A;0;0;0;0;0;0;0;0;40;0;0
UCHYTIL;Martin;Uherské Hradištì;34;42;0;0;0;39;0;0;32;0;36
Uvíra;Václav;CK Orlík Orlová;0;0;0;0;0;0;0;0;0;0;0
VAŠÍÈEK;Pavel;CykloRacing Olomouc;42;0;0;0;0;0;0;0;0;0;0
Vrábel;David;SK MAXBIKE Ostrava;0;0;0;0;30;29;0;30;0;0;0
VYCHODIL;Tomáš;CykloKoalice Zlaté Hory a Píseèná;31;0;0;0;0;0;0;0;0;0;0
Wrzyna;Rafal;Jafisport bike team;0;0;0;0;0;0;0;50;0;0;0
Wyszynsky;Daruiusz;;0;0;0;0;0;0;0;0;0;0;28
Zajac;Aleksander;Bike Atelier Team;0;0;0;0;0;0;0;0;35;0;0
;;;;;;;;;;;;;
Kategorie C;13;;;;;;;;;;;;
pøíjmení;jméno;klub;Trispol;Olšovec;MJF;Ustroò;BohÈas;Krnov;Anna;ArcMit;VCL;Bahenec;C.C.
Adámek;Lukáš;CK Feso Petøvald;44;0;0;48;0;50;0;44;40;50;50
Anderko;Karol;Jafisport bike team;0;0;0;0;0;0;0;37;0;0;0
Binar;Petr;DB;0;0;0;0;30;0;0;0;0;0;0
Blahut;Radek;SK MAXBIKE Ostrava;31;50;0;0;37;42;31;39;46;39;44
Boszczyk;Norbert;"Skvìlá kola-TJ T Tøinec ""A""";0;0;0;0;0;0;25;32;31;44;46
Buchal;Ivo;"Racing Olešná ""A""";0;0;0;0;44;0;0;33;0;0;0
Èermák;Jan;CYCLING BRNO BAGBIKE;0;0;0;0;0;0;0;0;0;0;0
Èernota;Kamil;Hup na kolo;0;0;0;0;0;44;0;0;0;0;0
Èernı;Vladimír;;0;0;0;0;0;0;0;20;0;0;0
Èervenı;Lukáš;Cykloservis MB;0;40;0;0;36;0;0;38;32;40;42
Dohnal;Blahoslav;Cyklistika pro všechny Krnov;0;0;0;0;0;0;0;25;0;36;35
Fierla;Jan;CK Feso Petøvald;27;32;0;0;29;31;0;0;28;0;38
Franta;Roman;"Racing Olešná ""A""";0;0;0;0;0;0;0;0;29;0;0
Galuška;Tomáš;CK Continental Frenštát p.R.  1;0;48;0;46;46;0;48;40;48;42;40
Gierc;David;;0;0;0;0;27;0;0;23;22;0;0
Giraczka;Martin;Lowell Pro Šafrata Team Bohumín;0;0;0;0;0;0;0;0;0;0;0
Gorlich;Petr;SK Bag Bike;0;0;0;0;0;0;0;0;25;0;0
Guziur;Dalibor;Racing Olešná;0;0;0;0;0;0;0;29;0;0;31
Holiš;Martin;Èeská spoøitelna;0;0;0;0;0;0;0;0;34;0;0
Holub;Tomáš;Cyklokramo Suchdol nad Odrou;0;0;0;0;0;0;0;0;0;0;0
CHALOUPKA;Petr;CykloRacing Olomouc;33;0;0;0;0;38;0;0;0;0;0
CHUDÉJ;Marek;CykloRacing Olomouc;37;0;0;0;0;0;0;0;0;0;0
Chılek;Patrik;CK Continental Frenštát p.R.  2;0;0;0;0;0;0;0;0;0;0;0
Jakeš;Jiøí;;0;0;0;0;0;0;0;21;0;0;0
Janczura;Piotr Henryk;;0;0;0;0;0;0;0;0;0;0;33
Janù;Martin;Silnı team Unièov;39;0;0;0;0;0;0;0;0;0;0
