"Babán";"Marcel";"Cykloservis MB";0;0
"Beníèek";"Tomáš";"CK Continental Frenštát p. R.  2";0;0
"BODY";"Marcel";"Novatop Lapierre";0;17
"Bollo";"Roman";"YOGI Racing Ostrava 1";26;0
"CIELUCH";"Marcin";"SKY";60;0
"Èervenı";"Lukáš";"Cykloservis MB";0;25
"Dohnal";"Tomáš";"Cyklokramo Suchdol nad Odrou ""B""";0;0
"DOMANSKI";"Libor";"Bøeany";34;0
"Duík";"Artur";"Cykloservis MB";0;0
"Foltın";"Jiøí";"CK Kolík Hobby Bohumín ""A""";28;33
"Fryc";"Bohdan";"A Bike Club Ostrava ""A""";0;16
"Gierc";"David";;0;22
"GORAUS";"Tomasz";"Krupinski Suszec PRO-KAM";0;35
"Gruchala";"Vojtìch";"Triatlon klub Ostrava";0;0
"Harabiš";"Radim";"SK Valašského království";0;0
"HEINRICH";"Lukáš";"BikeStyle.cz";35;60
"Hlawiczka";"Martin";"Skvìlá kola-TJ T Tøinec""A""";37;34
"Holona";"Martin";"HPEL TEAM";25;0
"HUDEÈEK";"Petr";"Forman Cinelli";0;24
"Chamrád";"Jiøí";;48;40
"CHOCHOLÁÈ";"Jiøí";"Rafani Valmez";42;29
"JANOUŠEK";"Jiøí";"CK Brno";30;0
"Javorek";"Petr";"CK Feso Petøvald";0;46
"Jirásek";"Josef";"SK MAXBIKE Ostrava";0;0
"Jureèka";"Roman";"CK Continental Frenštát p.R.  1";29;30
"KAJNAR";"Tomáš";"Nutrend Specialized";55;0
"KAPLON ";"Julian";"Gliwice";0;12
"Klášterka";"Tomáš";"CK Continental Frenštát p.R.  1";50;50
"KNEBEL";"Radim";"ED6U";0;20
"Kocurek";"Jaroslav";"Fredos";0;0
"Koláèek";"Petr";"CK Feso Petøvald";0;0
"Koòaøík";"Milan";"2K-BIKE CLUB Odry";0;0
"KONEÈNİ";"Lukáš";"CK Vlastibor Koneènı";0;42
"KOUØIL";"Martin";"Kolokrám Svijany";46;0
"Kovaøík";"Roman";"CK Kolík Hobby Bohumín ""C""";0;0
"Kozák";"Pavel";"Cyklokramo Suchdol nad Odrou ""B""";0;0
"Kubánek";"Martin";"Lowell Pro Šafrata Team Bohumín";0;15
"MACURA";"Pavel";;0;18
"Macháè";"Miroslav";"ACS DRAK VRBNO";0;0
"MALACZYESKI";"Marek";"Glubczyce";24;0
"MAZUREK";"Patrik";"SKY";27;0
"Mitrenga";"Petr";"Skvìlá kola-TJ T Tøinec""A""";0;0
"Novotnı";"Jiøí";"Team Forman Cinelli";0;0
"ORZADALA";"Patrik";;0;13
"PECHÁÈEK";"Adam";"Eleven - Rubena Test Team";0;26
"Petøík";"Zdenìk";"Cyklistika pro všechny Krnov";33;0
"PIETRZAK";"Pawel";"Krupinski Suszec PRO-KAM";0;28
"Pietrzyk";"Vratislav";"YOGI Racing Ostrava 1";40;39
"Povala";"Roman";"CK Continental Frenštát p. R.  2";0;0
"Przieliorz";"Pawel";"CK Kolík Hobby Bohumín ""A""";31;37
"PØICHYSTAL";"Lukáš";"PM Bike idlochovice";39;0
"ROHEL";"Bøetislav";"Bikestyle.cz";0;11
"SEKTA";"Rafal";"Krupinski Suszec PRO-KAM";0;10
"Schnerch";"Martin";"Skvìlá kola-TJ T Tøinec""A""";0;31
"SKIBA";"Krzysztof";"Krupinski Suszec PRO-KAM";0;14
"Slavík";"Jiøí";"FORCE KCK CYKLOTEAM ZLÍN";0;0
"Slavík";"Dušan";"FORCE KCK CYKLOTEAM ZLÍN";0;0
"SLEZIAK";"Lukasz";;0;23
"Stanìk";"Pavel";"Cyklosport Pøikryl Stará Ves n. Ondøejnicí";0;21
"Surma";"Piotr";"CK Kolík Hobby Bohumín ""A""";0;27
"Šenkeøík";"Jan";"FORCE KCK CYKLOTEAM ZLÍN";0;0
"ŠÍBL";"Ludìk";"ACS DRAK VRBNO";23;0
"ŠINDLER";"Robert";"CK Feso Petøvald";0;10
"Šváèek";"David";"2K-BIKE CLUB Odry";0;0
"Teslík";"Petr";"YOGI Racing Ostrava 1";32;0
"Toman";"Petr";"Team Forman Cinelli";0;48
"Uvíra";"Václav";"CK Orlík Orlová";0;44
"Vall";"Jan";"SK MAXBIKE Ostrava";44;0
"VOJCIAK";"Miroslav";"IC Katowice";0;32
"Vrábel";"David";"SK MAXBIKE Ostrava";0;19
"WROZYNA";"Rafal";"Krupinski Suszec PRO-KAM";0;55
;;;;
"Kategorie C";14;;;
"pøíjmení";"jméno";"klub";"Trispol";"MJF"
"Beneš";"Petr";"YOGI Racing Ostrava 2";0;0
"Blahut";"Radek";"SK MAXBIKE Ostrava";0;50
"BOGACKI";"Rafal";"SPEED KEDZIERZYN";0;38
"Boszczyk";"Norbert";"Skvìlá kola-TJ T Tøinec""A""";0;0
"Buchal";"Ivo";"Racing Olešná ""A""";0;34
"ÈERMÁK";"Jan";"SK Bagbike Ostrava";0;44
"Dohnal";"Blahoslav";"Cyklistika pro všechny Krnov";0;0
"Fajkus";"Petr";"FORCE KCK CYKLOTEAM ZLÍN";0;0
"Fierla";"Jan";"CK Feso Petøvald";38;36
"Franta";"Roman";"Racing Olešná ""A""";0;21
"Galuška";"Tomáš";"Lowell Pro Šafrata Team Bohumín";0;60
"GIRACZKA";"Martin";"Lowel pro Šafrata Bohumín";0;33
"Grussmann";"Václav";"CK Continental Frenštát p.R.  1";0;0
"Havlíèek";"Robert";"YOGI Racing Ostrava 2";0;0
"Holub";"Tomáš";"Cyklokramo Suchdol nad Odrou ""B""";0;0
"CHALOUPKA";"Petr";"CykloRacing Olomouc";48;0
"Chudìj";"Marek";"Cycloracing Team Olomouc";46;0
"Chudı";"Radek";"2K-BIKE CLUB Odry";44;37
"Chılek ";"Patrik";"CK Continental Frenštát p. R.  2";0;0
"Jaroš";"Martin";"Racing Olešná ";0;30
"JUØÍK";"Kamil";"Cyklo Jeseník";40;0
"Kaiser";"Zdenìk";"A Bike Club Ostrava ""A""";0;40
"KARÁSEK";"Jiøí";"Racing Olešná";0;27
"Kokeš";"Pavel";"SK Valašského království";60;55
"Kolorz";"Mariusz";"CK Kolík Hobby Bohumín ""A""";0;39
"Koneènı ";"Petr";"2K-BIKE CLUB Odry";0;0
"Kroll";"Andrzej";"Skvìlá kola-TJ T Tøinec  ""B""";34;19
"KØIÁK";"Petr";"Ugoallivictus";0;26
"Kubala";"Janusz";"Cykloservis MB";0;0
"Lach";"Alan";"Racing Olešná ""A""";0;46
"Lysek";"Vladimír";"CK Continental Frenštát p.R.  1";50;28
"Machotka";"Karel";"YOGI Racing Ostrava 1";"DNF";0
"Majtner";"Petr";"SK FUGA";35;29
"Mlynáø";"Vlastík";"ACS DRAK VRBNO";0;0
"Mrózek";"Marian";"Skvìlá kola-TJ T Tøinec  ""B""";0;0
"Odvárka";"Ivo";"FORCE KCK CYKLOTEAM ZLÍN";55;25
"ORÁLEK";"Dušan";"Mirva Svitavy";"DNF";0
"PIECHACZEK";"Krzysztof";"Lowel pro Šafrata Bohumín";0;48
"POTONIEC";"Dariusz";"Jaskulka";0;22
"Rylich";"Václav";"CK Orlík Orlová";0;35
"SIWEK";" Dariusz Tomasz";;0;32
"Sokol";"Pavel";"Cyklokramo Suchdol nad Odrou ""A""";0;0
"SWACZYNA";"Partik";"CK Feso Petøvald";42;24
"SYCHRA";"Zdenìk";"Aveli MTB";37;0
"SZABLA";"Jaroslaw";"BRZEG";0;20
"Šimeèek";"Radim";"Midar Pøíbor";36;31
"TAUWINKL";"Pavel";"Velosport Pøerov";0;23
"TRAUSZKIEWICZ";"Tomasz";"Gliwice";0;42
"Wilhelm";"Jaroslav";"CK Kolík Hobby Bohumín""B""";39;0
;;;;
"Kategorie D";14;;;
"pøíjmení";"jméno";"klub";"Trispol";"MJF"
"Adamèík";"Miroslav";"Cyklokramo Suchdol nad Odrou ""A""";0;0
"Andrzejewski";"ANDRZEJ ";"Gliwice";0;26
"Baèík";"Pavel";"2K-BIKE CLUB Odry";31;0
"Baier";"Jan";"Lowell Pro Šafrata Team Bohumín";0;0
"Baran";"Petr";"SK Bagbike";44;50
"Hlavatík";"Ladislav";"Racing Olešná ""A""";0;0
"Holeš";"Jiøí";"CK Kolík Hobby Bohumín""B""";0;0
"Chmura";"Petr";"Team Forman Cinelli";0;30
"Jakl";"Jiøí";"Triatlon klub Ostrava";0;24
"KAPALA";"Zikmund";"KTS Tychy";0;40
"Kaszuba";"Miroslav";"CK Kolík Hobby Bohumín""B""";0;25
"Knytl";"Vojtìch";"Cyklokramo Suchdol nad Odrou ""A""";0;0
"Koneènı ";"Pavel";"CK Kolík Hobby Bohumín ""A""";0;31
"Kontúr";"Milan";"SK Valašského království";0;0
"Kopøiva";"Miroslav";"CK Continental Frenštát p. R.  2";0;20
"KOTAS";"Pavel";"PJR";0;28
"KOWALCZYK";"Mariucz";;33;34
"Krawczyk";"Andrzej";;36;20
"Krchòák";"Pavel";"ACK Stará Ves nad Ondøejnicí";28;0
"Lawicki";"Dariusz";"CZERNICA MASTERS";0;46
"Lepka";"Václav";"YOGI Racing Ostrava 2";0;0
"LUKEŠ";"Stanislav";"CykloRacing Olomouc";38;0
"Motyka";"Tomáš";"A Bike Club Ostrava ""B""";0;44
"Mrozek";"Jiøí";"CK Kolík Hobby Bohumín""B""";0;32
"Mück";"Arnošt";"2K-BIKE CLUB Odry";40;39
"Nováèek";"Pavel";"Racing Olešná";30;0
"Novák";"Milan";"XXX Bike Club";39;35
"Pavlík";"Petr";"Racing Olešná ""A""";0;23
"Pelc";"Ladislav";"CK Continental Frenštát p.R.  1";50;60
"Petruš";"Lubomír";"ACS DRAK VRBNO";37;0
"Pilecki";"Stanislav";"Cykloservis MB";0;0
"Praski";"Henryk";"CK Kolík Hobby Bohumín""B""";0;0
"Rumiñski";"Stanislaw";"Zabrze";35;0
"RUMINSKI";"Grzegorz";"Zabrze";0;20
"Rybicki";"Ludwik";;0;22
"Satinskı";"Alexandr";"YOGI Racing Ostrava 1";42;33
"Savka";"Miroslav";"CK Orlík Orlová";0;20
"Schichel";"Tomáš";"YOGI Racing Ostrava 2";0;0
"Schneider";"Rudolf";"CK Continental Frenštát p. R.  2";0;27
"Sikora";"Miroslav";"Skvìlá kola-TJ T Tøinec""A""";0;0
"SKØEÈEK";"Robert";"Cycling Brno";55;0
"Slezák";"Josef";"FORCE KCK CYKLOTEAM ZLÍN";48;55
"ŠIRÙÈKA";"Pavel";"LowellPro Šafrata Bohumín";0;29
"Škarka";"Jiøí";"CK Kolík Hobby Bohumín ""A""";32;37
"TROCHTA";"Libor";"CykloRacing Olomouc";60;0
