"Kategorie A";14;;;;;;;;;;;;;;;;;;;;;;;;
"p¯ÌjmenÌ";"jmÈno";"klub";"Trispol";"MJF";"KrnKrit";"Ston»D";"Krnov";"TdS";"ArcMit";"Bahenec";"C.C.";"TdJ";"MAD";"SPAC";"MRSAC";"MRSAC";"GPF";"Stonava";"ML60";"MJV";"StVes";"Paskov";"BÏl·";"VCL";"Td»"
"JASI“SKI ";"Martin";"Hup na kolo";0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"H¡JEK ";"Adam";"novatop Lapierre";0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"KUCIEBA";"Karol";;"DNF";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"MiËinec";"Jan";"ACK Star· Ves nad Ond¯ejnicÌ";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Peöek ";"Radim";"A Bike Club Ostrava ""B""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Pol·öek";"Adam";"A Bike Club Ostrava ""B""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"äR¡MEK";"VÌt";"Majnl dance hall";0;0;"DNF";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Tomek";"Josef";"Experiment 23";0;0;"DNF";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Veleck˝";"Tom·ö";"YOGI Racing Ostrava 1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;
"Kategorie B";14;;;;;;;;;;;;;;;;;;;;;;;;
"p¯ÌjmenÌ";"jmÈno";"klub";"Trispol";"MJF";"KrnKrit";"Ston»D";"Krnov";"TdS";"ArcMit";"Bahenec";"C.C.";"TdJ";"MAD";"SPAC";"MRSAC";"MRSAC";"GPF";"Stonava";"ML60";"MJV";"StVes";"Paskov";"BÏl·";"VCL";"Td»"
"Kl·öterka";"Tom·ö";"CK Continental Frenöt·t p.R.  1";50;50;60;0;50;0;60;50;55;55;50;65;0;0;65;65;60;60;60;60;55;44;0
"Chamr·d";"Ji¯Ì";;48;40;0;0;48;44;0;60;60;60;60;70;50;60;60;58;0;38;0;36;39;0;48
"Pietrzyk";"Vratislav";"YOGI Racing Ostrava 1";42;39;46;0;0;0;55;48;48;50;55;0;56;47;54;70;0;0;40;38;46;60;0
"Javorek";"Petr";"CK Feso Pet¯vald";0;46;55;0;0;55;0;0;36;31;38;50;0;0;70;0;55;55;55;55;30;55;38
"Vall";"Jan";"SK MAXBIKE Ostrava";44;0;36;0;37;42;46;44;39;37;39;56;0;0;50;54;46;31;44;"DNF";50;42;39
"UvÌra";"V·clav";"CK OrlÌk Orlov·";0;44;39;0;0;35;50;42;0;0;0;0;0;0;56;60;44;37;42;46;42;46;42
"Hlawiczka";"Martin";"SkvÏl· kola-TJ Té T¯inec""A""";38;34;38;0;33;33;38;37;35;36;25;49;39;37;47;49;30;40;48;32;32;50;37
"PECH¡»EK";"Adam";"Eleven - Rubena Test Team";0;26;44;0;44;40;0;40;38;40;42;46;0;0;"DNF";45;0;33;50;42;33;40;0
"Mitrenga";"Petr";"SkvÏl· kola-TJ Té T¯inec""A""";0;0;0;0;34;26;44;38;37;42;37;52;0;0;48;48;0;34;38;34;36;48;40
"KONE»N›";"Luk·ö";"CK Vlastibor KoneËn˝";0;42;48;0;35;37;0;33;44;46;48;60;0;0;0;52;0;39;0;0;0;0;44
"Ad·mek";"Luk·ö";"CK Feso Pet¯vald";39;38;0;0;39;38;0;46;46;48;44;58;0;0;52;0;40;"DNF";0;0;34;0;0
"Folt˝n";"Ji¯Ì";"CK KolÌk Hobby BohumÌn ""A""";29;33;29;0;28;0;42;34;34;34;31;0;0;0;40;56;39;28;46;0;37;38;0
"Fryc";"Bohdan";"A Bike Club Ostrava ""A""";0;16;30;0;23;23;33;35;0;32;0;36;0;0;45;41;0;26;37;30;31;36;0
"Toman";"Petr";"Team Forman Cinelli";0;48;42;0;31;32;40;0;0;0;"DNF";37;0;0;0;38;33;30;39;39;"DNF";35;0
"CHOCHOL¡»";"Ji¯Ì";"Rafani Valmez";"DNF";29;0;0;60;0;0;0;50;0;"DNF";0;0;0;58;0;50;46;0;0;60;0;46
"JureËka";"Roman";"CK Continental Frenöt·t p.R.  1";30;30;34;0;27;0;48;32;33;0;23;0;0;0;0;50;0;0;34;31;27;0;0
"Bollo";"Roman";"YOGI Racing Ostrava 1";27;0;0;0;0;24;34;39;42;35;0;54;0;0;46;0;29;25;35;0;0;0;0
"BenÌËek";"Tom·ö";"CK Continental Frenöt·t p. R.  2";0;0;0;0;0;0;29;28;29;24;0;0;0;0;39;35;0;16;33;27;23;34;34
"»erven˝";"Luk·ö";"Cykloservis MB";0;25;0;0;0;20;0;0;0;30;22;40;0;0;43;47;34;27;0;29;0;0;0
"Holona";"Martin";"HPEL TEAM";26;0;0;0;21;0;35;31;0;29;0;41;0;0;0;42;0;23;0;0;0;0;35
"Przieliorz";"Pawel";"CK KolÌk Hobby BohumÌn ""A""";32;37;31;0;0;31;0;0;0;0;34;0;0;0;"DNF";0;36;35;0;0;0;0;36
"SlavÌk";"Duöan";"FORCE KCK CYKLOTEAM ZLÕN";0;0;0;0;36;48;0;0;40;44;40;0;0;0;0;0;0;36;0;0;"DNF";0;0
"Androsz";"Michal";"CK KolÌk Hobby BohumÌn""B""";"DNF";36;37;0;0;21;0;0;0;0;29;43;0;0;0;43;0;32;0;0;"DNF";0;0
"Pet¯Ìk";"ZdenÏk";"Cyklistika pro vöechny Krnov";34;0;0;0;0;0;0;55;0;0;46;0;0;0;0;0;48;0;0;0;0;0;55
"Kol·Ëek";"Petr";"CK Feso Pet¯vald";0;0;0;0;0;28;0;36;0;39;0;47;0;0;"DNF";0;42;0;0;35;0;0;0
